,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,환경,환경,환경,환경,환경,날씨,날씨,날씨,날씨,날씨,날씨,전국,날씨
1,쓰레기,방폐,새만금,기름,태안,환경,비,환경,환경,환경,환경,날씨,전국
2,오염,새만금,오염,태안,날씨,비,주의보,비,주의보,비,비,환경,도
3,추진,쓰레기,쓰레기,황사,기름,서울,눈,주의보,개,환경부,전국,비,환경
4,원전,유치,서울,서울,람사르,눈,환경,서울,뉴스,도,도,도,미세먼지
5,주민,지율스님,물,오염,서울,공원,제주,강원,오늘,대강,강원,서울,비
6,개발,서울,등,방제,기후변화,전국,서울,뉴스,비,강원,주의보,낮,서울
7,생태,주민,개발,피해,유출,봄,대강,전국,전북,서울,서울,주의보,낮
8,지역,사업,곳,전국,전국,가을,강원,제주,도,주의보,낮,물,주의보
9,센터,지역,생태,온난화,총회,지역,전북,눈,환경부,낮,전북,환경부,최고
10,배출,오염,공사,지구,피해,녹색,전국,가을,눈,전국,최고,강원,환경부
11,등,생태,한강,유출,습지,물,지역,개,녹색,오늘,환경부,미세먼지,폭염
12,반대,정부,물질,지역,가을,하늘,주말,주말,전국,뉴스,미세먼지,지역,제주
13,도롱뇽,등,배,종합,비,생태,사업,도,제주,최고,오후,최고,개
14,서울,곳,지구,비,환경부,주의보,대구,오늘,강원,울산,태풍,기온,장관
15,환경부,천성산,건설,등,생태,꽃,오후,안개,서울,사업,제주,관리,지진
16,조사,공원,청계천,날씨,발견,세계,도,최고,한국,제주,눈,개,종합
17,핵,개발,발견,쓰레기,대운하,속,해제,구름,피해,등,주말,등,등
18,천성산,발견,지역,발견,지역,기후변화,태풍,하늘,세계,관리,구름,장관,피해
19,제주,단체,논란,가을,봄,첫,구름,지역,최고,전북,개,전북,전북
