,날짜,애플,테슬라,구글,삼성전자
1,2020-12-30,133.72,694.78,1736.3,78300.0
2,2020-12-29,134.87,665.99,1757.8,78700.0
3,2020-12-28,136.69,663.69,1774.0,77800.0
4,2020-12-24,131.97,661.77,1734.2,77800.0
5,2020-12-23,130.96,645.98,1728.2,73900.0
6,2020-12-22,131.88,640.34,1720.2,72300.0
7,2020-12-21,128.23,649.86,1734.6,73000.0
8,2020-12-18,126.65,695.0,1726.2,73000.0
9,2020-12-17,128.7,655.9,1740.5,73000.0
10,2020-12-16,127.81,622.77,1757.2,73300.0
11,2020-12-15,127.88,633.25,1761.1,73800.0
12,2020-12-14,121.78,639.83,1752.3,73800.0
13,2020-12-11,122.41,609.99,1774.8,73800.0
14,2020-12-10,123.24,627.07,1767.7,73400.0
15,2020-12-09,121.78,604.48,1777.9,73400.0
16,2020-12-08,124.38,649.88,1811.3,72900.0
17,2020-12-07,123.75,641.76,1817.0,73900.0
18,2020-12-04,122.25,599.04,1823.8,71700.0
19,2020-12-03,122.94,593.38,1821.8,72900.0
20,2020-12-02,123.08,568.82,1825.0,71500.0
21,2020-12-01,122.72,584.76,1795.4,71500.0
22,2020-11-30,119.05,567.6,1754.4,69700.0
23,2020-11-27,116.59,585.76,1787.0,69500.0
24,2020-11-25,116.03,574.0,1764.1,67800.0
25,2020-11-24,115.17,555.38,1763.9,66700.0
26,2020-11-23,113.85,521.85,1727.6,68200.0
27,2020-11-20,117.34,489.61,1736.4,68200.0
28,2020-11-19,118.64,499.27,1758.6,68000.0
29,2020-11-18,118.03,486.64,1740.6,66600.0
30,2020-11-17,119.39,441.61,1761.7,67700.0
31,2020-11-16,120.3,408.09,1774.0,67500.0
32,2020-11-13,119.26,408.5,1772.3,64700.0
33,2020-11-12,119.21,411.76,1742.8,64700.0
34,2020-11-11,119.49,417.13,1747.2,64600.0
35,2020-11-10,115.97,410.36,1737.7,64800.0
36,2020-11-09,116.32,421.26,1761.4,65700.0
37,2020-11-06,118.69,429.95,1759.7,66300.0
38,2020-11-05,119.03,438.09,1762.5,63200.0
39,2020-11-04,114.95,420.98,1745.8,63200.0
40,2020-11-03,110.44,423.9,1645.7,61000.0
41,2020-11-02,108.77,400.51,1624.3,61300.0
42,2020-10-30,108.86,388.04,1616.1,60200.0
43,2020-10-29,115.32,410.83,1556.9,60200.0
44,2020-10-28,111.2,406.02,1510.8,60100.0
45,2020-10-27,116.6,424.68,1598.9,60100.0
46,2020-10-26,115.05,420.28,1584.3,60300.0
47,2020-10-23,115.04,420.63,1633.0,58500.0
48,2020-10-22,115.75,425.79,1606.7,58800.0
49,2020-10-21,116.87,422.64,1586.0,57400.0
50,2020-10-20,117.51,421.94,1551.1,56600.0
51,2020-10-19,115.98,430.83,1529.9,56600.0
52,2020-10-16,119.02,439.67,1567.7,58100.0
53,2020-10-15,120.71,448.88,1555.5,59000.0
54,2020-10-14,121.19,461.3,1563.4,59800.0
55,2020-10-13,121.1,446.65,1567.1,60400.0
56,2020-10-12,124.4,442.3,1564.6,60200.0
57,2020-10-09,116.97,434.0,1510.4,60200.0
58,2020-10-08,114.97,425.92,1483.4,60100.0
59,2020-10-07,115.08,425.3,1459.1,60900.0
60,2020-10-06,113.16,413.98,1451.0,60900.0
61,2020-10-05,116.5,425.68,1482.8,60000.0
62,2020-10-02,113.02,415.09,1455.6,59500.0
63,2020-10-01,116.79,448.16,1487.9,59500.0
64,2020-09-30,115.81,429.01,1465.6,60000.0
65,2020-09-29,114.09,419.07,1466.0,60900.0
66,2020-09-28,114.96,421.2,1458.7,60900.0
67,2020-09-25,112.28,407.34,1439.1,60400.0
68,2020-09-24,108.22,387.79,1422.9,59700.0
69,2020-09-23,107.12,380.36,1409.4,59700.0
70,2020-09-22,111.81,424.23,1459.8,59900.0
71,2020-09-21,110.08,449.39,1430.1,59000.0
72,2020-09-18,106.84,442.15,1451.1,58700.0
73,2020-09-17,110.34,423.43,1487.0,58200.0
74,2020-09-16,112.13,441.76,1512.1,58200.0
75,2020-09-15,115.54,449.76,1535.1,58200.0
76,2020-09-14,115.36,419.62,1508.8,57900.0
77,2020-09-11,112.0,372.72,1515.8,57900.0
78,2020-09-10,113.49,371.34,1526.1,57800.0
79,2020-09-09,117.32,366.28,1547.2,58600.0
80,2020-09-08,112.82,330.21,1523.6,58200.0
